,Note,At 31 December,
,,2017,2016
NON-CURRENT ASSETS,,"88,352","79,538"
"Intangible assets Property, plant and equipment Non-current investments in Group & associated companies Equity instruments Non-current financial investments Equity instruments",5 6 8 y 9 7 y 11,"24,555 42,957 10,725 10,725 1,464 62","22,503 41,171 10,670 10,670 1,587 62"
Credits to third parties Other financial assets,7 y 10,"- 1,402","50 1,475"
Deferred tax assets,21,"8,651","3,607"
CURRENT ASSETS,,"170,772","203,370"
Inventories Trade and other receivables,12,"31,569 103,672","32,074 134,280"
"Trade receivables for sales of goods and services Trade receivables, Group & associated companies Sundry debtors Employees",7 y 10 7 y 10 7 y 10 7 y 10,"29,982 66,785 125 161","29,614 94,673 576 186"
Current income tax assets,23,"2,228","4,466"
Other credits with Public Administrations,23,"4,391","4,765"
Current investments in Group & associated companies Credits to companies Current accruals and prepayments,7 y 10,5 5 -,5 5 3
Cash and cash equivalents,7 y 13,"35,526","37,008"
,,,
TOTAL ASSETS,,"259,124","282,908"
