,Freedom of amortisation/ depreciation,Other,Total
At 1 January 2023,51 626 677,,
Charged/(credited) to profit and loss,(71) 522 451 269 118 387,,
At 31 December 2023,,,
Charged/(credited) to profit and loss,"249 1,266 1,515",,
(Charged)/credited to profit and loss,"(49) (1,100) (1,149)",,
At 31 December 2024,200 166 366,,
