2023,2022 2021
Hombres Mujeres Total,Hombres Mujeres Total Hombres Mujeres Total
235 311 546,200 252 452 188 251 439
266 307 573,261 297 558 244 258 502
276 323 599,278 305 583 252 250 502
179 159 338,180 154 334 133 136 269
20 35 55,24 42 66 17 22 39
976 1.135 2.111,943 1.050 1.993 834 917 1.751
