Efectivo y equivalentes de efectivo Rating 2016 2015,,
A+ - 228 A 734 238 BBB+ 33.884 28.137 BBB 63 63 BBB- 6.515 - BB+ 108 - BB 4 196 B- 10 76 Sin rating 60 313 Total efectivo (Nota 14) 41.378 29.251,,
Cuentas financieras a cobrar Rating,,2016 2015
BBB+,,139 139
,Sin rating 50 -,
Total cuentas financieras a cobrar (Nota 13) Activos financieros disponibles para la venta Rating,,189 139 2016 2015
BBB+ Sin rating Total activos disponibles para la venta (Nota 11),,11 11 59 59
,,70 70
,,
Clientes Rating,,2016 2015
"AA A2 Centros e instituciones públicas (Nota 13) Otros (mayoristas, farmacias, sanatorios) Total clientes (Nota 13) Otros Depósitos Rating",,1.973 2.332 3.430 5.591 6.045 1.228 35.402 37.541
,,46.850 46.692 2016 2015
BBB+ Sin rating Total otros depósitos (Nota 13),,1.327 1.327 32 62
,,1.359 1.389
