,31 de,Deterioro de participaciones,,31 de diciembre de 2025
,diciembre de 2024,Dotaciones,Reversiones,
Bertex Pharma GmbH,848 (11),,— —,837
"Rovi Biotech, GmbH",183,(29),,154
