,Note,"31 December,",
,,2017,2016
EQUITY Capital and reserves attributable to shareholders of the company Share capital Legal reserve Treasury shares Retained earnings and voluntary reserve Profit for the year Reserve for available-for-sale assets Total equity LIABILITIES Non-current liabilities Financial debt Deferred income tax liabilities Deferred revenues Current liabilities Financial debt Trade and other payables Deferred revenues Provision for other liabilities and charges,15 16 16 16 16 16 18 19 20 17 18 20 21,"3,000 600 (8,407) 179,255 17,241 (2)","3,000 600 (8,701) 162,421 26,089 (3)"
,,"191,687","183,406"
,,"27,029 1,438 5,005","20,828 1,640 5,532"
,,"33,472","28,000"
,,"16,208 52,942 565 3,508","12,966 59,852 746 2,878"
,,"73,223","76,442"
Total liabilities,,"106,695","104,442"
Total equity and liabilities,,"298,382","287,848"
