,31 de diciembre 2025,,31 de diciembre 2024
Balance resumido,"Terafront Farmatech, S.L.",,"Terafront Farmatech, S.L."
Corriente,,,
,,,
Efectivo y equivalentes al efectivo Otros activos corrientes (excluido efectivo),15.863 59.320,,74.867 19
Total activos corrientes,75.183,,74.886
Pasivos financieros (excluidos proveedores) Otros pasivos corrientes (incluidos proveedores),—,,—
,(32),,(109)
Total pasivos corrientes,(32),,(109)
,,,
No Corriente,,,
Inmovilizado material,2,,—
Total activos no corrientes,2,,—
Total pasivos no corrientes,—,,—
,,,
ACTIVOS NETOS,75.153,,74.777
