,,,2020,,,,,2019,,,
DISTRIBUTION EMPLOYEES BY COUNTRY/GENDER,,,Men,,Women,,TOTAL,Men,Women,TOTAL,Total variation
,Spain,,656,,727,,"1,383",606,685,"1,291",7%
,UK,,0,,1,,1,-,1,1,0%
,Germany,,11 9,,,,20,3,2,5,300%
,Italy,,1,,4,,5,1,3,4,25%
,France,,3,,1,,4,3,-,3,33%
,Poland,,0,,1,,1,-,1,1,0%
,Portugal,,1,,4,,5,1,4,5,0%
,TOTAL,,672,,747,,"1,419",614,696,"1,310",8%
