,Número de consejeras,,,,,,,
,Ejercicio 2016,,Ejercicio 2015,,Ejercicio 2014,,Ejercicio 2013,
,Número,%,Número,%,Número,%,Número,%
COMISIÓN DE NOMBRAMIENTOS Y RETRIBUCIONES,0,"0,00%",0,"0,00%",0,"0,00%",0,"0,00%"
COMISIÓN DE AUDITORÍA,0,"0,00%",0,"0,00%",0,"0,00%",0,"0,00%"
