DISTRIBUTION EMPLOYEES BY TYPE OF CONTRACT / GENDER,Men Women TOTAL Distribut.,
Permant full-time 462 532 Permanent part-time - 4,,994 4
Total permanent 462 536,,998 82%
Temporary for specific project or service 2 3 Temporary due to work backlog 47 55 Temporary substitution contract 4 6 Training / apprenticeship 27 49 Temporary part-time 15 17 Temporary full-time - empl. with disabilities 1 -,,5 0% 102 8% 10 1% 76 6% 32 3% 1 0%
Total temporary 96 130,,226 18%
TOTAL,558 666,
