Sociedad Organismo Proyecto,,Miles euros Años,,
,,Valor Importe razonable Plazo de Periodo de nominal inicial amortización carencia,,
Lab. Farm. Rovi Corporación Tecnológica de Andalucía,(1),54 46 28 24 46 40 12 10 148 122 200 179,13 4,
Lab. Farm. Rovi Corporación Tecnológica de Andalucía Lab. Farm. Rovi Corporación Tecnológica de Andalucía,(1) (1),,12 3,
,,,12,3
Lab. Farm. Rovi Corporación Tecnológica de Andalucía,(1),,13 4,
Lab. Farm. Rovi Centro para el Desarrollo Tecnológico Industrial Lab. Farm. Rovi Centro para el Desarrollo Tecnológico Industrial,(1) (1),,7,1 4
,,,11,
Lab. Farm. Rovi Centro para el Desarrollo Tecnológico Industrial Lab. Farm. Rovi Centro para el Desarrollo Tecnológico Industrial Lab. Farm. Rovi Centro para el Desarrollo Tecnológico Industrial Lab. Farm. Rovi Centro para el Desarrollo Tecnológico Industrial,(2) (2) (1) (1),106 92 94 80 279 248 373 310,16 4 16 3 10 3 7 1,
,,1.340 1.151,,
