In thousand euros,30 June 2025,31 December 2024
Bank borrowings,"104,993 86,939 10,537 11,406 13,707 16,065",
Debts with public administration,,
Financial liabilities for leases,,
Derivatives,(62),—
Total,"129,175 114,410",
