,31 December 2021,,"31 December, 2020",
,Alentia,Enervit,Alentia,Enervit
Condensed financial information,,,,
,"Biotech, S.L.","Nutrition, S.L.","Biotech, S.L.","Nutrition, S.L."
Net assets of joint ventures at the beginning of the,,,,
year,"(2,098)","3,624","(2,094)","3,781"
Profit/(los) of joint ventures in the year,(4),364,—,(156)
Net assets of joint ventures at the end of the year,"(2,102)","3,988","(2,094)","3,625"
Share in profit of joint venture,—,"1,994",—,"1,812"
Carrying amount,—,"1,994",—,"1,812"
