,31 Decem,ber 2024,31 Dece,mber 2023
Condensed balance sheet,"Cells IA Terafront Cells IA Technologies, Farmatech, Technologies Enervit S.L. S.L. , S.L. Nutrition, S.L.",,,
,,,,
Current,,,,
Cash and cash equivalents,3 302,"74,867 19",472 —,
Other current assets (excluding cash),,,16,—
Total curent assets,305,"74,886 488 —",,
Financial liabilities (excluding trade payables) Other current liabilities (including trade payables),(226) —,,— (17),— —
,(76),(109),,
Total current liabilities,(302),(109),(17),—
,,,,
Non-current,,,,
"Property, plant and equipmen",4 10,— —,5 19,—
Intangible assets Other financial assets,,,,—
,— — — —,,,
Deferred tax assets,32,—,7,—
Total non-current assets,46,—,31,—
Financial liabilities Other liabilities,— — — —,,—,—
,,,— —,
Total non-current liabilities,— —,,—,—
,,,,
NET ASSETS,49,"74,777 502 —",,
