DISTRIBUTION OF EMPLOYEES BY GENDER,,,2020,,,2019,,,Total variation,,
,Men,,,672,,,614,,,9%,
,Women,,,747,,,696,,,7%,
,TOTAL,,,"1,419",,,"1,310",,,8%,
