,"Elementos Terrenos informáticos y Inst.técnicas, , transporte Inmoviliz construc maquinaria y Otras inst. y y otro Derechos ado en ciones utillaje mobiliario inmovilizado de uso curso Total",,,
Saldo al 01.01.24,,,,
Coste Amortización acumulada,60.645 347.377 4.752 20.840 38.602 8.469 480.685,,,
,(19.610) (166.227) (3.067) (17.881) (20.248),,—,(227.033)
Valor neto 01.01.24,41.035 181.150 1.685 2.959 18.354 8.469 253.652,,,
Altas Bajas Bajas de amortización Traspasos Dotación a la amortización,6.552 42.897 378 1.218 3.351 8.074 62.470,,,
,(2) (10.661) (40) (508) (106),,—,(11.317) 6.790
,— 6.233 39 518 7.602 (2.105) 11 26,— —,,
,,—,(5.534),—
,(871) (16.535) (215) (1.340) (6.012),,—,(24.973)
Saldo al 31.12.24,,,,
Coste Amortización acumulada,74.797 377.508 5.101 21.576 41.847 11.009 531.838,,,
,(20.481) (176.529) (3.243) (18.703) (26.260),,—,(245.216)
Valor neto 31.12.24,54.316 200.979 1.858 2.873 15.587 11.009 286.622,,,
Altas Bajas Bajas de amortización Variación de perímetro - Coste,7.151 45.974 56 948 6.044 11.081 71.254,,,
,(160) (5.723) (19) (252) —,,—,(6.154) 5.997
,— 5.799 19 179 — — — 20,— —,,
,,—,— 20,
Variación de perímetro - Amortización,— — — (16) — (1.244) (17.918) (240) (1.224) (6.362),,— —,(16) (26.988)
Dotación a la amortización,,,,
Saldo al 31.12.25,,,,
Coste Amortización acumulada,81.788 417.759 5.138 22.292 47.891 22.090 596.958 (21.725) (188.648) (3.464) (19.764) (32.622) — (266.223),,,
Valor neto 31.12.25,60.063 229.111 1.674 2.528 15.269 22.090 330.735,,,
