,Capital social (Nota 15),Prima de emisión (Nota 15),Reserva legal (Nota 16),Acciones p ropias (Nota 16),Resultados de ejercicios anteriores y reservas voluntarias (Nota 16),Resultado del ejercicio (Nota 16),Otro resultado global acumulado (Nota 16),Participaciones no dominantes (Nota 16),TOTAL PATRIMONIO NETO
Saldo a 1 de enero de 2021,3.364,87.636,673,(20.185),241.158,61.057,(3),—,373.700
Resultado global total del ejercicio,— — — — — —,— — — — — —,—,—,—,153.077,1,—,153.078
Traspaso del resultado de 2020,,,— —,—,39.925,(39.925),—,—,—
Dividendos 2020 (Nota 16.c),,,,—,—,(21.132),— — — —,— — — —,(21.132) (78.785) 42.328 1.403
Adquisición de acciones propias (Nota 16.d),,,—,(78.785),—,—,,,
Reemisión de acciones propias (Nota 16.d),,,—,31.446,10.882,— —,,,
Otras operaciones con socios y propietarios,,,—,1.403,—,,,,
Otros movimientos,—,—,—,—,384,—,—,—,384
Saldo a 31 de diciembre de 2021,3.364,87.636,673,(66.121),292.349,153.077,(2),—,470.976
Resultado global total del ejercicio,— — — —,—,—,—,—,199.669,19,(4),199.684
Traspaso del resultado de 2021,,— — —,—,—,102.070,(102.070),—,—,—
Dividendos 2021 (Nota 16.c),,,—,—,—,(51.007),— —,— —,(51.007) (177.008)
Adquisición de acciones propias (Nota 16.d),,,—,(177.008),—,—,,,
Reemisión de acciones propias (Nota 16.d),—,—,—,80.560,(2.794),—,—,—,77.766
Reducción de capital (Nota 15) Participaciones no dominantes,(123),—,—,135.008,(134.885),—,—,—,—
,,,,,,,,1.371,1.371
Otros movimientos,—,—,—,—,(378),—,(25),—,(403)
Saldo a 31 de diciembre de 2022,3.241,87.636,673,(27.561),256.362,199.669,(8),1.367,521.379
