,Recognition of revenue from services rendered to third parties (Euros,,,,
,"264,692 thousand)",,,,
,"See notes 2.21.b, 4.2, 20.b and 22.b to the consolidated annual accounts",,,,
,,,,,
,Key audit matter,,,How the matter was addressed in our audit,
,A portion of the Group's revenue corresponds to the,,"Our audit procedures included the following: - We evaluated the design and implementation of key controls associated with the process of recognising manufacturing and packaging revenue, revenue using the percentage of completion method, and revenue from production capacity reservations. - We obtained and evaluated contracts for the reservation of production capacity at the facilities in exchange for financial consideration in order to analyse their recognition as revenue from services rendered and, in particular, their deferral as contractual liabilities, as the case may be, in accordance with the agreed terms and conditions and in compliance with the established milestones. - Where revenue from services rendered is recognised using the percentage of completion method, we obtained the contracts, from which we selected a random sample, based on certain quantitative and qualitative criteria, to assess the estimates made for revenue recognition purposes, obtaining documentation supporting those estimates and evidence of the judgements made by the Group, where applicable. - With regard to manufacturing and packaging revenue, we performed a test using computer- assisted audit techniques enabling us to assess the existence and accuracy of a large volume of service transactions during the year, individually matching the revenue to the orders and delivery notes. - We also assessed whether the disclosures in the consolidated annual accounts meet the requirements of the financial reporting framework applicable to the Group.",Our audit procedures included the following:,
,provision of manufacturing and packaging services to,,,- We evaluated the design and implementation of,
,third parties. Control is transferred to the customer,,,key controls associated with the process of,
,and the performance obligations are deemed to be,,,recognising manufacturing and packaging,
,fulfilled when the manufactured goods are made,,,"revenue, revenue using the percentage of",
,available to the customer.,,,"completion method, and revenue from production",
,"In certain cases, the Group undertakes to reserve",,,capacity reservations.,
,production capacity at its facilities in exchange for,,,- We obtained and evaluated contracts for the,
,financial consideration that is either recognised as,,,reservation of production capacity at the facilities,
,revenue when the contractual milestone is reached,,,in exchange for financial consideration in order to,
,or serves as a minimum payment in cases where the,,,analyse their recognition as revenue from services,
,production service is carried out.,,,"rendered and, in particular, their deferral as",
,"In other cases, prior to providing manufacturing",,,"contractual liabilities, as the case may be, in",
,services and in accordance with certain defined,,,accordance with the agreed terms and conditions,
,"milestones, the Group performs adjustment,",,,and in compliance with the established,
,overhaul and validation work on its plant and,,,milestones.,
,"machinery, which, when the final cost of such work",,,- Where revenue from services rendered is,
,"is borne by the customer, is recognised as revenue",,,recognised using the percentage of completion,
,using the percentage of completion method in,,,"method, we obtained the contracts, from which",
,accordance with the defined milestones. This,,,"we selected a random sample, based on certain",
,requires the Group to perform estimates such as the,,,"quantitative and qualitative criteria, to assess the",
,"margin on each contract, the costs to be incurred,",,,"estimates made for revenue recognition purposes,",
,"the probability of receiving additional revenue, if any,",,,obtaining documentation supporting those,
,and fulfilment of the established milestones. The,,,estimates and evidence of the judgements made,
,recognition of revenue and profit or loss in these,,,"by the Group, where applicable.",
,cases therefore requires management to exercise,,,,
,,,,- With regard to manufacturing and packaging,
,judgement and an exhaustive control of the,,,,
,,,,"revenue, we performed a test using computer-",
,estimates made and the deviations that might arise,,,,
,,,,assisted audit techniques enabling us to assess,
,"while the service is being carried out, as well as",,,,
,,,,the existence and accuracy of a large volume of,
,fulfilment of the contractually agreed milestones.,,,,
,,,,"service transactions during the year, individually",
,The estimates take into account all costs and,,,,
,,,,matching the revenue to the orders and delivery,
,"revenue directly attributable to the contracts,",,,,
,,,,notes.,
,including any costs incurred in addition to those,,,,
,originally budgeted.,,,- We also assessed whether the disclosures in the,
,,,,consolidated annual accounts meet the,
,Due to the high level of judgement and the,,,,
,,,,requirements of the financial reporting framework,
,significance of revenue from services rendered,,,,
,,,,applicable to the Group.,
,"recognised in the income statement, and of the",,,,
,contractual liabilities still to be recognised in the,,,,
