,Activos por impuestos diferidos,Pasivos por impuestos diferidos,Impuestos diferidos netos
Al 1 de enero de 2022,3.850 (776) 3.074,,
(Cargo) / abono a la cuenta de resultados (Nota 28),(1.372) 99 (1.273),,
