,Saldos contables,Valor razonable,
,2022 2021 2022 2021,,
Préstamos de entidades de crédito,37.679 44.107 8.365 8.416,36.677 7.714,43.359 8.766
Deudas con organismos oficiales,,,
,46.044 52.523 44.391 52.125,,
