,"Grants, Adjust- donations & Share Treasury Retained Profit for the ments for legacies capital Reserves shares earnings year c hanges in received (Note 14) (Note 15) (Note 15) (Note 15) (Note 16) value (Note 17) TOTAL"
BALANCE AT END OF 2015,"3,000 6,959 (8,112) 100,167 17,509 (2) 4,408 123,929"
Adjustments for changes in policies 2015 and prior years Adjustments for errors 2016 and prior years,- - - - - - - - - - - - - - - -
"ADJUSTED BALANCE, BEGINNING OF 2016","3,000 6,959 (8,112) 100,167 17,509 (2) 4,408 123,929"
Total recognized income and expenses - Application of profit for 2015 - Distribution of dividends - Transactions with treasury shares (net),"- - - - 29,932 (1) (504) 29,427 - - - 10,656 (10,656) - - - - - - - (6,853) - - (6,853) - - (589) 48 - - - (541)"
Other movements,- - - (214) - - - (214)
BALANCE AT END OF 2016,"3,000 6,959 (8,701) 110,657 29,932 (3) 3,904 145,748"
Adjustments for changes in policies 2016 and prior years Adjustments for errors 2016 and prior years,- - - - - - - - - - - - - - - -
"ADJUSTED BALANCE, BEGINNING OF 2017","3,000 6,959 (8,701) 110,657 29,932 (3) 3,904 145,748"
Total recognized income and expenses - Application of profit for 2016 - Distribution of dividends - Transactions with treasury shares (net),"- - - - 18,673 1 (415) 18,259 - - - 20,907 (20,907) - - - - - - - (9,025) - - (9,025) - - 294 185 - - - 479"
Other movements,- - - (274) - - - (274)
BALANCE AT END OF 2017,"3,000 6,959 (8,407) 131,475 18,673 (2) 3,489 155,187"
