,,,1,2,3,4,5,6,7,8,0,,TOTAL,,,TOTAL,,,Var.,
,,,,,,,,,,,,,2020,,,2019,,,Total,
,TOTAL HOURS OF,,0.0,"1,182.6","4,339.0","5,844.0","10,611.0","4,590.0","4,098.0",56.4,103.6,"30,824.0",,,"28,163.9",,,,,
,TRAINING BY,,,,,,,,,,,,,,,,,,,
,PROFESSIONAL GROUP,,,,,,,,,,,,,,,,,,,
