,,,,,,Ejercicio,
,,,,,,,
Impuesto sobre Sociedades,,,,,,2012-15,
Impuesto sobre el Valor Añadido,,,,,,2013-16,
Impuesto sobre Transmisiones Patrimoniales,,,,,,2013-16,
Impuesto sobre la Renta de las Personas Físicas,,,,,,2013-16,
