,,Six-month period ended 30 June,
,Note,2024,2023
Revenue,20 11,"329,336 71,362 (205,275) (64,871) (61,394) 562","380,845 19,171 (184,514) (59,096) (61,466) 1,960"
Change in inventories of finished goods and work in progress Raw materials and consumables used Employee benefit expenses Other operating expenses Work carried out by the Group on non-current assets Amortisation and depreciation Recognition of government grants on non-financial non-current assets and other,,,
,7 & 8,"(13,446) 204","(11,865) 172"
,9 22 23,,
OPERATING PROFIT,,"56,478","85,207"
,,,
Finance income Finance costs Impairment and gain or loss on measurement of financial instruments,,100 (644) 67 163,766 (366) 72 166
Exchange difference,,,
FINANCE COSTS - NET,,(314),638
,,,
Share of profit in joint ventures and associated companies,,(22),(13)
,,,
PROFIT BEFORE INCOME TAX,,"56,142","85,832"
,,,
Income tax,,"(11,804)","(19,188)"
,,,
PROFIT FOR THE PERIOD,,"44,338","66,644"
,,,
Attributable to:,,,
– The parent company,,"44,345 (7)","66,646 (2)"
– Non-controlling interests,,,
,,,
Earnings per share (basic and diluted) attributable to the shareholders of the Company (euros),,,
– Basic and diluted,,0.86,1.25
,,,
