,,,,Thousand euros,
,,,,2021,2020
Mr Juan López-Belmonte Encina,,,,2,8
Mr Javier López-Belmonte Encina,,,,2,8
Mr Iván López-Belmonte Encina,,,,2,8
,,,,6,24
