,2025,2024,% Variación
,,,"1,83 %"
,,,"-33,33 %"
,,,"-3,85 %"
,,,— %
,,,"-16,67 %"
,,,-100 %
,,,— %
,,,"13,33 %"
Total,2.232,2.197,"1,59 %"
