,,CURRENT PERIOD,PREVIOUS PERIOD
,,31/12/2018,31/12/2017
(+) Cash in hand and at bank,0550,83.787,35.526
(+) Other financial assets,0552,,
(-) Less: bank overdrafts repayable on demand,0553,,
TOTAL CASH AND CASH EQUIVALENTS AT END OF PERIOD,0600,83.787,35.526
