Company,Country,Indian_Non_Indian,Biosimilar_Relevance_Evidence,Annual_Financial_Coverage,Quarterly_Financial_Coverage,Cash_Flow_Coverage,Daily_Stock_Coverage,Weekly_Stock_Status,Monthly_Stock_Status,Historical_Coverage,Missingness,ML_Feature_Coverage,Target_Eligibility,Data_Quality_Issues,Score,Rank,Reason_Selected
Amgen,United States,Non-Indian,Biosimilar-focused,Income: YES; Balance_Sheet: YES; Cash_Flow: YES,Income: YES; Balance_Sheet: YES; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (1990-08-13 to 2026-12-31 (~36.4 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2014-03-31 to 2026-03-31 (~12.0 years) | Stock: 1990-08-13 to 2026-12-31 (~36.4 years),Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Full (daily + complete quarterly income & balance),Eligible,None major,28.25,1,"Ranked #1 non-indian; biosimilar-focused relevance; score 28.25; 48 official observations; key data strengths: annual 3/3, quarterly 2/3, daily stock YES."
Biogen,United States,Non-Indian,Biosimilar-focused,Income: YES; Balance_Sheet: YES; Cash_Flow: YES,Income: YES; Balance_Sheet: YES; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: NO,YES (2013-12-31 to 2026-12-31 (~13.0 years)),DIRECTLY SOURCED,DIRECTLY SOURCED,Financial: 2014-03-31 to 2026-06-30 (~12.2 years) | Stock: 2013-12-31 to 2026-12-31 (~13.0 years),Quarterly financial/quarterly cash flow (P1),Full (daily + complete quarterly income & balance),Eligible,None major,26.5,2,"Ranked #2 non-indian; biosimilar-focused relevance; score 26.5; 49 official observations; key data strengths: annual 3/3, quarterly 2/3, daily stock YES."
Teva Pharmaceutical,Israel,Non-Indian,Pharmaceutical,Income: YES; Balance_Sheet: YES; Cash_Flow: YES,Income: YES; Balance_Sheet: YES; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (1993-04-14 to 2026-12-31 (~33.7 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2014-03-31 to 2026-03-31 (~12.0 years) | Stock: 1993-04-14 to 2026-12-31 (~33.7 years),Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Full (daily + complete quarterly income & balance),Eligible,None major,24.25,3,"Ranked #3 non-indian; pharmaceutical relevance; score 24.25; 48 official observations; key data strengths: annual 3/3, quarterly 2/3, daily stock YES."
Novartis,Switzerland,Non-Indian,Uncertain,Income: YES; Balance_Sheet: YES; Cash_Flow: YES,Income: YES; Balance_Sheet: YES; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2001-05-07 to 2026-12-31 (~25.7 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2014-03-31 to 2026-06-30 (~12.2 years) | Stock: 2001-05-07 to 2026-12-31 (~25.7 years),Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Full (daily + complete quarterly income & balance),Eligible,None major,22.25,4,"Ranked #4 non-indian; uncertain relevance; score 22.25; 49 official observations; key data strengths: annual 3/3, quarterly 2/3, daily stock YES."
3SBio,China,Non-Indian,Biopharmaceutical,Income: YES; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2015-06-11 to 2026-08-20 (~11.2 years)),NOT AVAILABLE,NOT AVAILABLE,Financial: 2005-12-31 to 2025-12-31 (~20.0 years) | Stock: 2015-06-11 to 2026-08-20 (~11.2 years),Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2); Stock market/Monthly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,21.5,5,"Ranked #5 non-indian; biopharmaceutical relevance; score 21.5; 20 official observations; key data strengths: annual 3/3, quarterly 1/3, daily stock YES."
Fresenius SE,Germany,Non-Indian,Uncertain,Income: YES; Balance_Sheet: YES; Cash_Flow: YES,Income: YES; Balance_Sheet: YES; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2014-01-01 to 2026-12-31 (~13.0 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2014-03-31 to 2026-03-31 (~12.0 years) | Stock: 2014-01-01 to 2026-12-31 (~13.0 years),Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Full (daily + complete quarterly income & balance),Eligible,None major,21.25,6,"Ranked #6 non-indian; uncertain relevance; score 21.25; 48 official observations; key data strengths: annual 3/3, quarterly 2/3, daily stock YES."
Merck & Co.,United States,Non-Indian,Uncertain,Income: YES; Balance_Sheet: YES; Cash_Flow: YES,Income: YES; Balance_Sheet: YES; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2013-12-31 to 2026-12-31 (~13.0 years)),NOT AVAILABLE,DIRECTLY SOURCED,Financial: 2014-03-31 to 2026-06-30 (~12.2 years) | Stock: 2013-12-31 to 2026-12-31 (~13.0 years),Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2),Full (daily + complete quarterly income & balance),Eligible,None major,21.25,7,"Ranked #7 non-indian; uncertain relevance; score 21.25; 49 official observations; key data strengths: annual 3/3, quarterly 2/3, daily stock YES."
Baxter International,United States,Non-Indian,Uncertain,Income: YES; Balance_Sheet: YES; Cash_Flow: YES,Income: YES; Balance_Sheet: YES; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2013-12-31 to 2026-08-19 (~12.6 years)),NOT AVAILABLE,NOT AVAILABLE,Financial: 2012-03-31 to 2026-03-31 (~14.0 years) | Stock: 2013-12-31 to 2026-08-19 (~12.6 years),Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2); Stock market/Monthly stock (separately sourced) (P2),Full (daily + complete quarterly income & balance),Eligible,None major,21.0,8,"Ranked #8 non-indian; uncertain relevance; score 21.0; 49 official observations; key data strengths: annual 3/3, quarterly 2/3, daily stock YES."
Viatris,United States,Non-Indian,Uncertain,Income: YES; Balance_Sheet: YES; Cash_Flow: YES,Income: YES; Balance_Sheet: YES; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2013-12-31 to 2026-08-19 (~12.6 years)),NOT AVAILABLE,NOT AVAILABLE,Financial: 2014-03-31 to 2026-06-30 (~12.2 years) | Stock: 2013-12-31 to 2026-08-19 (~12.6 years),Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2); Stock market/Monthly stock (separately sourced) (P2),Full (daily + complete quarterly income & balance),Eligible,None major,21.0,9,"Ranked #9 non-indian; uncertain relevance; score 21.0; 49 official observations; key data strengths: annual 3/3, quarterly 2/3, daily stock YES."
Mabwell Bioscience,China,Non-Indian,Biopharmaceutical,Income: YES; Balance_Sheet: YES; Cash_Flow: YES,Income: PARTIAL; Balance_Sheet: PARTIAL; Cash_Flow: NO,Annual: YES; Quarterly: NO; YTD: YES,YES (2022-01-18 to 2026-08-20 (~4.6 years)),NOT AVAILABLE,NOT AVAILABLE,Financial: 2018-12-31 to 2026-03-31 (~7.2 years) | Stock: 2022-01-18 to 2026-08-20 (~4.6 years),Quarterly financial/quarterly income statement (P2); Quarterly financial/quarterly balance sheet (P2); Quarterly financial/quarterly cash flow (P1); Stock market/Weekly stock (separately sourced) (P2); Stock market/Monthly stock (separately sourced) (P2),Partial (daily + partial quarterly coverage),Eligible,None major,19.5,10,"Ranked #10 non-indian; biopharmaceutical relevance; score 19.5; 18 official observations; key data strengths: annual 3/3, quarterly 1/3, daily stock YES."
