BAI,IS,Subvenciones
10.080,1.959,514
3,2,0
-82,0,0
110,0,0
907,-239,0
188.175,-46.596,267
310,-78,0
-70,9,0
-944,236,0
-9,0,0
131,0,0
932,-550,0
-7,0,0
152,0,0
-90,0,0
-76,0,0
199.522,-45.257,781
