,,Thousand euros
,,2024 2023
Current corporate income tax,,"(4,774) 4,278 1,174 1,204 (195)"
Tax credits,,
Deferred taxes,,
Adjustment income tax previous years,,
Withholdings borne in other countries,,
,,"1,687 1,960"
