,,Manufacturing,Marketing,TOTAL
,,,,TOTAL
Spain,,"12,097","183,700","195,797"
,,,,"195,797"
UE,,"48,164","17,687","65,851"
,,,,"65,851"
Other countries,,838,"13,163","14,001"
,,,,"14,001"
,,"61,099","214,550","275,649"
,,,,"275,649"
