,,Annual period ended 31 December,
,Note,2019,2018
CONTINUING OPERATIONS Net sales,22 a),"379,221","291,202 291,202 - (490) (190,379) (188,443) (1,936) 5,380 4,658 722 (32,744) (27,801) (4,943) (67,113) (65,396) (1,837) 120 (7,753) 864 (39) - (39)"
Sales of goods Rendering of services,,"378,223",
,,998,
"Change in inventories of finished products and work in progress Procurements Raw materials and consumables used Inventory write-down Other operating income Ancillary and current management income Operating grants recognised in profit and loss Employee benefit expenses Wages, salaries and similar remuneration Welfare charges Other operating expenses External services Taxes Losses, impairment and changes in trade provisions Amortisation, depreciation and impairment charges Allocation of grants for non-financial assets and other Impairment and gains/(losses) on disposal of intangible assets and property,",12 22 b) 12 22 c) 22 d) 22 e) 22 f) 10 c) 5 & 6 17 6,"13,653 (277,098) (275,544) (1,554) 3,450 2,984 466 (34,490) (28,766) (5,724) (66,661) (64,476) (2,635) 450 (9,331) 685 (342)",
Impairments and losses,5,(341),
Gains/(losses) on sales and other,,(1),
PROFIT/(LOSS) FROM OPERATING ACTIVITIES,,"9,087","(1,072)"
Finance revenue Finance expenses Change in fair value of financial instruments Exchange rate differences Impairment and gains/(losses) on disposal of financial instruments,,"17,066 (624) 159 24 -","12,845 (684) 17 (56) 2"
FINANCE COSTS – NET,24,"16,625","12,124"
,,,
PROFIT BEFORE INCOME TAX,,"25,712","11,052"
Income tax,23,(159),"4,529"
PROFIT FOR THE YEAR,16,"25,553","15,581"
