,,,,Miles de euros
,,,,2024 2023
,,,,
Retribución de consejeros ejecutivos,,,,2.605
Resultado de la Sociedad dominante,,,,75.546
Retribución de consejeros ejecutivos / Resultado atribuido a la sociedad dominante,,,,"3,45 %"
