Nombre o denominación social del consejero,Categoría del consejero en el momento del cese,Fecha del último nombramiento,Fecha de baja,Comisiones especializadas de las que era miembro,Indique si la baja se ha producido antes del fin del mandato
DON MIGUEL CORSINI FREESE,Independiente,29/05/2018,07/05/2019,COMISIÓN DE NOMBRAMIENTOS Y RETRIBUCIONES Y COMISIÓN DE AUDITORÍA.,SI
DON ENRIQUE CASTELLÓN LEAL,Independiente,31/05/2017,20/12/2019,COMISIÓN DE NOMBRAMIENTOS Y RETRIBUCIONES Y COMISIÓN DE AUDITORÍA.,SI
