,2025 2024,
,,
Retribución de consejeros ejecutivos Resultado de la Sociedad dominante,2.666,2.605 75.546
,46.079,
Retribución de consejeros ejecutivos / Resultado atribuido a la sociedad dominante,"5,79 %","3,45 %"
