,2025,2024,% Variación
Residuos peligrosos,"3.069,11","4.657,71","-34,11 %"
Residuos radiactivos,"0,00","0,00 — %",
Residuos no peligrosos,"4.710,40","5.226,20","-9,87 %"
Cantidad total de residuos generados,"7.779,50","9.883,91","-21,29 %"
