Financial instruments by category,2024 2023,
FINANCIAL ASSETS Non-current financial assets,,
,65 89,
Financial receivables (Note 13) Equity securities (Note 11),65 65,
,—,24
Current financial assets,"144,270","151,457"
Trade and other receivables (Note 13),"116,857 126,135",
Financial assets at amortised cost (Note 32),227,—
Cash and cash equivalents (Note 14),"27,186 25,322",
,,
FINANCIAL LIABILITIES,,
Non-current financial liabilities,"92,538 53,673",
Contract liabilities (Note 20) Financial debt (Note 18),"1,819 1,431",
,"90,719","52,242"
Current financial liabilities,"146,201","187,998"
Contract liabilities (Note 20) Financial debt (Note 18) Trade and other payables (Note 17),"4,803 39,044 23,691 13,185 117,707 135,769",
