,"Technical IT facilities, Furniture, equipment, Land & machinery & fittings & vehicles & Rights of PPE in buildings tools other other use progress",,,Total
Balance at 01.01.23,,,,
Cost Accumulated depreciation,"45,119 280,489 3,876 19,412 32,807 40,174 (19,199) (151,975) (2,943) (16,863) (15,356) —",,,"421,877 (206,336)"
Net carrying amt 01.01.23,"25,920 128,514 933 2,549 17,451 40,174 215,541",,,
Additions Retirements Retirements from depreciation,"1,504 12,313 101 654 453 3,426 18,451",,,
,— (10) — (108) — 5 — 103,—,— (118),
,,— —,,108
Transfers,(98) — — — — 98 —,,,
Depreciation charge,"(150) (7,051) (57) (626) (2,313)",,—,"(10,197)"
Balance at 30.06.23,,,,
Cost Accumulated depreciation,"46,525 292,792 3,977 19,958 33,260 43,698 440,210 (19,349) (159,021) (3,000) (17,386) (17,669) — (216,425)",,,
Net carrying amt 30.06.23,"27,176 133,771 977 2,572 15,591 43,698 223,785",,,
