,BAI IS Subvenciones
España,259.813 -58.545 2.112
Portugal,-132 -20 0
Polonia,-248 0 0
Alemania,988 -241 0
Reino Unido,-110 0 0
Italia,766 -334 0
Suiza,-75 0 0
Francia,114 0 0
Total,261.116 -59.139 2.112
