,2025,2024,% Variación
"Total de tCOeq 16.000 15.000 6,67 % 2",,,
Proporción de proyectos de eliminación,"11,88 %","10,00 % 18,75 %",
"Proporción de proyectos de reducción 88,13 % 90,00 % -2,08 %",,,
"Norma de calidad reconocida MITERD 0,63 % 10,00 % -93,75 %",,,
"Norma de calidad reconocida UNFCCC — % 90,00 % -100 %",,,
"Proporción de proyectos dentro de la UE 0,63 % 10,00 % -93,75 %",,,
Proporción de créditos de carbono que pueden considerarse ajustes correspondientes,—,—,— %
