,Rating 2023,Saldo 2023,Rating 2022,Saldo 2022
Portugal,BBB+,1.463 2.032 4.286 2.317 1.579 1.312 87 269 288 926 229 150 570 715,BBB+,1.225 4.753 953 1.902 1.732 390 866 282 944 212 556 90 107 640
Italia,BBB,,BBB,
Cataluña,BB,,BB,
Valencia,BB,,BB,
Madrid,A-,,A-,
Galicia,A,,A,
Aragón,BBB+,,BBB+,
País Vasco,AA-,,AA-,
Andalucía,BBB+,,BBB+,
Canarias,A,,A,
Cantabria,BBB,,BBB,
Castilla la Mancha,BBB-,,BBB-,
Castilla y León,Baa1,,Baa1,
Otros,,,,
,,16.223,,14.652
