Q1 2024,Q1 2023,Growth,
151.2,201.6,(50.5),
0.2,0.3,(0.1),
151.3,201.9,(50.5),
(65.7),(76.5),10.8,
85.6,125.3,(39.7),
56.6 %,62.2 %,,
(6.1),(5.2),(0.9),
(53.6),(53.6),0.0,
0.0,0.0,0.0,
25.9,66.5,(40.6),
17.1 %,33.0 %,,
19.3,60.7,(41.4),
12.8 %,30.1 %,,
(0.3),0.4,(0.7),
19.0,61.2,(42.2),
(4.0),(13.7),9.7,
21.3 %,22.4 %,,
15.0,47.5,(32.5),-68 %
,,,
15.0,47.5,(32.5),
0.0,0.0 0.0,,n.a.
