,,,,,,31 December,,,,,
,,,Note,,,2018,,,2017,,
Profit for the year,,,,,,"17,895",,,"17,241",,
,,,,,,,,,,,
Items that may subsequently be reclassified to profit and loss,,,,,,(1),,,1,,
+ Changes in value of equity securities,,,11,,,(1),,,1,,
,+ Changes in value of equity securities,,,11,,,(1),,,1,
,,,,,,,,,,,
Other comprehensive income (net of taxes),,,,,,(1),,,1,,
Total comprehensive income for the year,,,,,,"17,894",,,"17,242",,
