,,Year ended 31 December,
,Note,2024,2023
,,,"10,111 14,635 69,389 (39,931)"
Profit before income tax,,"73,859 (44,619) 66,655 (42,458)",
Adjustments to profit Changes in working capital Other cash flows from operating activities,,,
Cash flows generated (used) in operating activities,25,"53,437","54,204"
,,,"(8,876) 58,631"
Payments of investments,,"(32,034) 3,982",
Proceeds from disinvestments,,,
Cash flows generated (used) in investing activities,26,"(28,052)","49,755"
,,,"(7,839) (69,049) (81,261)"
Proceeds from and payments of financial liabilities,,"82,387 (56,451) (47,787)",
Dividend payments and remuneration of other equity instruments Transactions with treasury shares,,,
Cash flows generated (used) in financing activities,27,"(21,851)","(158,149)"
,,,
NET INCREASE / DECREASE IN CASH AND CASH EQUIVALENTS,,"3,534","(54,190)"
Cash and cash equivalents at beginning of year Cash and cash equivalents at end of year,13 13,"13,023 16,557","67,213 13,023"
