,,,,Thousand euros,
,,,,2021,2020
,,,,,
Current tax,,,,"(8,943)","(9,045)"
Tax credits,,,,"18,233","8,254"
Deferred taxes,,,,"(2,246)","(3,662)"
Adjustment income tax previous years.,,,,(795),374
,,,,"6,249","(4,079)"
