,,,"Grants,",,,
,,,donations and,Freedom of,,
Deferred tax liabilities,,,,,,
,,,legacies,amortization /,,
,,,,,,
,,,received,depreciation,Other,Total
"At 1 January, 2020",,,(912),(463),(973),"(2,348)"
(Charged) / credited to profit and loss,,,—,80,"(2,547)","(2,467)"
Tax charged to equity,,,115,—,—,115
"At 31 December, 2020",,,(797),(383),"(3,520)","(4,700)"
(Charged) / credited to profit and loss,,,—,75,249,324
Tax charged to equity,,,98,—,—,98
"At 31 December, 2021",,,(699),(308),"(3,271)","(4,278)"
