,"Subven., Acciones Resultado donaciones Capital Prima de propias en ejercicios Resultado Ajustes por y legados escriturado emisión Reservas patrimonio anteriores del ejercicio cambios de recibidos (Nota 14) (Nota 14) (Nota 15) (Nota 15) (Nota 15) (Nota 16) valor (Nota 17) TOTAL"
"SALDO, INICIO AÑO 2022",3.364 87.636 7.032 (66.121) 240.468 65.143 (2) 2.111 339.631
Total ingresos y gastos reconocidos - Distribución del resultado 2021 - Distribución de dividendos - Operaciones con acciones propias (netas) - Reducción de capital - Otros movimientos,— — — — — 39.116 10 (417) 38.709 — — — — 14.136 (14.136) — — — — — — — — (51.007) — — (51.007) — — — (96.448) (2.794) — — — (99.242) (123) — — 135.008 (134.885) — — — — — — — — (3) — 4 — 1
"SALDO, FINAL AÑO 2022",3.241 87.636 7.032 (27.561) 116.922 39.116 12 1.694 228.092
Total ingresos y gastos reconocidos - Distribución del resultado 2022 - Distribución de dividendos - Operaciones con acciones propias (netas) - Otros movimientos,— — — — — 12.071 (32) (327) 11.712 — — — — (29.933) 29.933 — — — — — — — — (69.049) — — (69.049) — — — (80.115) (1.146) — — — (81.261) — — — — (172) — — — (172)
"SALDO, FINAL AÑO 2023",3.241 87.636 7.032 (107.676) 85.671 12.071 (20) 1.367 89.322
