,Thousands of euros,,,
,,Thousands of euros,,
,2018,,2017,
,,,,2017
Purchases,"194,559",,"140,016",
,,,,"140,016"
Change in inventories,"(6,116)",,"5,175",
,,,,"5,175"
,"188,443",,"145,191",
,,,,"145,191"
