,Thousand euros,,,,,,
,,,,,Income and expenses credited /,,
,,,,,,,
,Income statement,,,,(charged directly in equity,,
Balance income & expenses,,,"71,137",,,,(344)
,Increases,Decreases,Total,,Increases,Decreases,Total
Corporate income tax,,,4.079,,,,(115)
Permanent differences,,,,,,,
- Individual,1.658,—,1.658,,—,—,—
- Due to tax consolidation,—,(31.151),(31.151),,—,—,—
Temporary differences:,,,,,,,
- Individual,,,,,,,
- originating in the period,1.710,—,1.710,,—,—,—
- originating in previous,,,,,,,
,251,(1.576),(1.325),,—,—,—
periods,,,,,,,
- Due to tax consolidation,,,,,,,
- originating in the period,—,(13.899),(13.899),,—,—,—
- originating in previous,,,,,,,
,,,,,,,
,3.822,—,3.822,,—,—,—
periods,,,,,,,
Taxable income,,,36.031,,,,(459)
