Actuaciones y recursos relacionados con los recursos hídricos y marinos (E3-2) 82,
Metas relacionadas con los recursos hídricos y marinos (E3-3),85
Consumo de agua (E3-4) 85,
"Efectos financieros previstos de los impactos, riesgos y oportunidades relacionados con los recursos hídricos y marinos (E3-5)",87
NEIS E5 Uso de recursos y economía circular 88,
"Procesos para determinar y evaluar los impactos, riesgos y oportunidades materiales relacionados con el uso 88 de recursos y la economía circular (NEIS 2 IRO-1)",
Políticas relacionadas con el uso de los recursos y la economía circular (E5-1),89
Actuaciones y recursos relacionados con el uso de los recursos y la economía circular (E5-2) 89,
Metas relacionadas con el uso de los recursos y la economía circular (E5-3),93
Entradas de recursos (E5-4) 94,
Salidas de recursos (E5-5),95
"Efectos financieros previstos de las impactos, riesgos y oportunidades relacionados con el uso de los recursos 98 y la economía circular (E5-6)",
Información social,
NEIS S1 Personal propio 99,
Intereses y opiniones de las partes interesadas (NEIS 2 SBM-2) 99,
"Impactos, riesgos y oportunidades materiales y su interacción con la estrategia y el modelo de negocio (NEIS 2 SBM-3)",100
Políticas relacionadas con el personal propio (S1-1) 104,
Procesos para colaborar con los trabajadores propios y los representantes de los trabajadores en materia de incidencias (S1-2),106
Procesos para reparar los impactos negativos y canales para que los trabajadores propios expresen sus 107 inquietudes (S1-3),
Actuaciones y recursos relacionados con el personal propio (S1-4),108
Metas relacionadas con el personal propio (S1-5) 111,
Características de los asalariados de la empresa (S1-6),112
Características de los trabajadores no asalariados de la empresa (S1-7) 115,
Cobertura de la negociación colectiva y diálogo social (S1-8),115
Parámetros de diversidad (S1-9) 116,
