,2024 2023,
Clientes,115.176 125.068 (349) (518),
Menos: reserva para pérdidas por incobrables,,
Clientes – Neto (13.a),114.827 124.550 2 27,
Otras cuentas a cobrar,,
Cuentas a cobrar a partes vinculadas (Nota 32),30,10
Depósitos (13.b),1.930 1.440 133 173 12.614 17.179,
Personal,,
Administraciones públicas (13.c),,
Total,129.536 143.379,
Menos: Parte no corriente: Cuentas financieras a cobrar,65 65,
Parte corriente,129.471 143.314,
