,,Equity,,,,,,,
,,,Share,,,Other,Adjustment,"Grants, donations",
,,Share,premium,Treasury,Profit/,equity,s for changes in,and,Total equity
,,capital,and reserves (1),stock,(loss) for the period,instrume nts,value,legacies received,
Opening balance at 01/01/2024,3050,3.241,180.339,(107.676),12.071,-,(20),1.367,89.322
Adjustments for changes in accounting policies,3051,,,,,,,,
Adjustments for errors,3052,,,,,,,,
Adjusted opening balance,3055,3.241,180.339,(107.676),12.071,,(20),1.367,89.322
I. Total recognized income/(expenses),3060,,,,48.693,,(4),(173),48.516
II. Transactions with shareholders or owners,3065,,2.061,(50.076),(59.617),,,,(107.632)
1. Capital increases/(reductions),3066,,,,,,,,
2. Conversion of financial liabilities to equity,3067,,,,,,,,
3. Distribution of dividends,3068,,,,(59.617),,,,(59.617)
4. Treasury stock transactions (net),3069,,2.061,(50.076),,,,,(48.015)
5.Increases/(reductions) due to business combinations,3070,,,,,,,,
6. Other transactions with shareholders or owners,3072,,,,,,,,
III. Other equity transactions,3075,,(47.546),,47.546,,,,-
1. Payments based on equity instruments,3076,,,,,,,,
2. Transfers between equity items,3077,,(47.546),,47.546,,,,
3. Other changes,3078,,-,,,,,,-
Closing balance at 30/06/2024,3080,3.241,134.854,(157.752),48.693,-,(24),1.194,30.206
