,Miles de euros
,2022 2021
Cobros y pagos por instrumentos de pasivo financiero:,
a) Emisión,
- Deudas con empresas del grupo y asociadas (Nota 31 h),80.000 1.399
- Otras deudas (Nota 18),
,81.399
b) Devolución y amortización,
- Deudas con entidades de crédito,(714) (20.388) (1.562) (291)
- Deudas con empresas del grupo y asociadas,
- Otras deudas,
- Pago de intereses,
,(22.955)
Pagos por dividendos y remuneraciones de otros instrumentos de patrimonio:,
- Dividendos (Nota 15 b) y d),(51.007) (99.242)
- Transacciones con acciones propias (Nota 15 c),
,(150.249)
Flujos de efectivo generados / (utilizados) de las actividades de financiación,(91.805)
