En miles de euros,2023,2022
Préstamos de entidades de crédito,37.745 8.816 102.016,44.107 9.938 80.385 28
Deuda con organismos oficiales,,
Deudas con empresas del grupo y asociadas,,
Instrumentos financieros derivados,—,
Total,148.577,134.430
