,,,,Thousands of euros,,,,
,,,2018,,,2017,,
,,,,2018,,,2017,
,,,,,,,,
,"- Rovi Contract Manufacturing, S.L.",,,"9,307",,,"3,758",
,"- Bemipharma Manufacturing, S.L.",,,-,,,1,
,"- Pan Química Farmacéutica, S.A.",,,444,,,392,
"- Frosst Ibérica, S.A.",,,"3,040",,,"5,741",,
,,,"12,791",,,"9,892",,
