Name,Country of incorporation,% interest,Nature of relationship,Measurement method
"Enervit Nutrition, S.L. (1) Cells IA Technologies, S.L. (2) Terafront Farmatech, S.L. (3)",Spain,50%,a),Company sold
,Spain,26% 25.5%,b),Equity
,Spain,,c),Equity
