,2022 2021
Deuda financiera (Nota 18),72.166 73.162 (124.945) (99.035) (9) (72) (1.416) (1.427)
Menos: Efectivo y equivalentes al efectivo (Nota 14),
Menos: Valores de renta variable (Nota 11),
Menos: Depósitos (Notas 9 y 13),
Deuda/(Caja) neta,(54.204) (27.372)
Patrimonio neto,521.379 470.976
Índice de apalancamiento,"-10,4 % -5,8 %"
