,Nota,A 31 de diciembre de,
,,2022,2021
PATRIMONIO NETO Patrimonio neto atribuido a la Sociedad dominante Capital social Prima de emisión Reserva legal Acciones propias Resultados de ejercicios anteriores y reservas voluntarias Resultado del ejercicio Otro resultado global acumulado Participaciones no dominantes Total patrimonio neto PASIVO Pasivos no corrientes Deuda financiera Pasivos por impuestos diferidos Pasivos contractuales Ingresos diferidos Pasivos corrientes Deuda financiera Proveedores y otras cuentas a pagar Pasivos por impuesto corriente Pasivos contractuales Ingresos diferidos,15 15 16 16 16 16 16 16 18 19 20 21 18 17 27 20 21,520.012 3.241 87.636 673 (27.561) 256.362 199.669 (8) 1.367,470.976 3.364 87.636 673 (66.121) 292.349 153.077 (2) —
,,521.379,470.976
,,59.441 677 1.545 1.774,66.745 776 1.460 2.331
,,63.437,71.312
,,12.725 165.776 — 114.901 485,6.417 125.173 681 57.632 485
,,293.887,190.388
Total pasivo,,357.324,261.700
Total patrimonio neto y pasivo,,878.703,732.676
