,30 June 2024,31 December 2023
Raw materials and other consumables Work in progress and semi-finished goods Finished goods produced internally Commercial inventories,"115,400 169,368 148,990 80,505 65,761 62,884 25,335 25,211",
,"355,486 337,968",
