,Inst. técnicas y otro Terrenos y inmovilizado construcciones material Total,
Saldo al 01.01.21,,
Coste Amortización acumulada,,
Valor neto contable 01.01.21,,
Altas Bajas Bajas de amortización Dotación a la amortización,,
Saldo al 31.12.21,,
Coste Amortización acumulada,,
Valor neto contable 31.12.21,,
Altas Bajas Baja amortización Dotación a la amortización,—,5.925 5.925
,(7) (3.334) (3.341),
,—,140 140
,(136) (6.699) (6.835),
Saldo al 31.12.22,,
Coste Amortización acumulada,7.284 101.440 108.724 (1.824) (58.615) (60.439),
Valor neto contable 31.12.22,5.460 42.825 48.285,
