,Thousand euros,,,,,,
,Income statement,,,,Income and expenses credited/ (charged) directly in equity,,
Balance income and expenses,,,"12,071",,,,(359)
,Increases,Decreases,Total,,Increases,Decreases,Total
Corporate income tax Permanent differences,,,"(1,960)",,,,(109)
,,,,,,,
– Individual – Due to tax consolidation,"1,287",—,"1,287",,— — — — — —,,
,— — —,,,,,,
Temporary differences,,,,,,,
– Individual – originating in the period – originating in previous periods – Due to consolidation – originating in the period – originating in previous periods,,,,,,,
,"1,854",—,"1,854",,— — — — — —,,
,"963 (2,517) (1,554)",,,,,,
,,,,,,,
,"— (12,274) (12,274) 13,715 — 13,715",,,,— — — — — —,,
Taxable income,,,"13,139",,,,(468)
