,,,2020,,,,,2019,,
,,,,,,,,,,
AVERAGE REMUNERATION BY AGE/GENDER,,,Men,,,Women,,Men,Women,
,,,,,,,,,,Total
,,,,,,,,,,var.
,,,,,,,,,,
,18-30 years,,,"24,737 €",,,"25,705 €","22,813 €","28,091 €",-1%
,31-40 years,,,"30,216 €",,,"34,177 €","29,893 €","34,909 €",-1%
,41-50 years,,,"42,890 €",,,"38,655 €","44,772 €","41,400 €",-5%
,51-60 years,,,"51,676 €",,,"42,276 €","48,836 €","40,914 €",5%
,>60 years,,,"60,862 €",,,"33,752 €","51,672 €","36,987 €",7%
