,2019,,2018,,
DISTRIBUTION OF DISMISSALS BY AGE / GENDER,Men Women,TOTAL,Men Women,TOTAL,Var.
18-30 years 1 2 31-40 años 5 10 41-50 años 8 5 51-60 años 8 - >60 años - -,,3 15 13 8 -,2 - 3 4 5 8 3 2 4 2,2 7 13 5 6,
TOTAL 22 17,,39,17 16,33,
,,,,,
