,2020,,,,2019,,,,,,,,
,,,,,,,,,,Variation Total,,,
,,,,,,,,,,,,,
NATURAL RESOURCES CONSUMED,Granada,Madrid & SSRR,Alcalá de Henares,Distribution,Granada,Madrid & SSRR,Alcalá de Henares,Distribution,,Gr,Mad & SSRR,AH,Distr.
m3 water consumed,"28,555","55,369","58,641","7,606","24,026","58,931","63,114","2,561",,19%,-6%,-7%,197%
m3 water / million units produced,0.1,338.6,"1,085.9",311.2,0.0,445.4,1.597.8,126.9,,29%,-24%,-32%,145%
